symbol,name,price,peRatio,volume,change1M,change3M,change6M,change1Y
AROW,Arrow Financial Corporation,28.489999771118164,14.535714,32800,-15.08,0.83,33.97,3.73
ARCB,ArcBest Corporation,93.5999984741211,11.656289,167400,-16.05,-13.45,-37.12,-23.04
ALRM,"Alarm.com Holdings, Inc.",62.06999969482422,26.75431,192200,3.57,4.14,-8.48,-1.79
ABEV,Ambev S.A.,1.8700000047683716,13.357142,61269000,-15.38,-20.76,-20.43,-33.69
SEED,Origin Agritech Limited,2.1600000858306885,1.785124,8700,-6.09,-12.2,-34.55,-13.94
RGA,"Reinsurance Group of America, I",211.41000366210938,19.377636,333900,-7.89,1.14,15.64,32.16
AXR,AMREP Corporation,30.540000915527344,13.278261,29800,-8.29,36.83,41.78,38.44
AVD,American Vanguard Corporation,4.559999942779541,N/A,293300,-24.5,-18.43,-60.86,-58.83
AUDC,AudioCodes Ltd.,9.430000305175781,23.575,51600,12.93,-12.44,-14.72,-20.16
ARC,"ARC Document Solutions, Inc.",3.390000104904175,30.818182,475167,1.49,13.17,35.41,26.98
AOSL,Alpha and Omega Semiconductor L,38.36000061035156,N/A,481700,28.51,6.47,76.61,44.48
AMWD,American Woodmark Corporation,80.7699966430664,12.055223,115200,-17.77,-16.27,-15.88,-13.81
ALLY,Ally Financial Inc.,35.650001525878906,14.26,1286300,-1.57,-13.91,-2.02,4.7
ACGL,Arch Capital Group Ltd.,92.33999633789062,6.197315,1030500,-7.71,-11.72,2.62,24.68
ABR,Arbor Realty Trust,13.65999984741211,10.270677,1904600,-9.54,3.88,19.04,-5.09
ABCB,Ameris Bancorp,63.04999923706055,13.190376,242200,-9.44,8.79,40.39,18.44
SAMG,Silvercrest Asset Management Gr,18.3700008392334,23.551285,20500,0.62,22.54,28.59,12.49
RAIL,"Freightcar America, Inc.",9.229999542236328,N/A,112500,-11.16,53.58,152.19,245.69
MITT,"AG Mortgage Investment Trust, I",6.96999979019165,2.9285712,290200,2.8,2.94,30.36,18.21
HASI,HA Sustainable Infrastructure C,27.3799991607666,14.260417,546300,-0.58,-10.74,9.68,1.51
GIL,"Gildan Activewear, Inc.",46.86000061035156,18.669323,343400,-2.64,10.51,33.06,43.68
ATR,"AptarGroup, Inc.",158.14999389648438,31.757027,145000,-9.16,6.19,16.28,27.82
ATNM,"Actinium Pharmaceuticals, Inc. ",1.2000000476837158,N/A,477500,-27.27,-43.4,-86.67,-76.0
ASR,Grupo Aeroportuario del Sureste,263.1700134277344,12.561814,27600,-0.3,-4.41,-13.9,-6.54
ASC,Ardmore Shipping Corporation,11.989999771118164,3.3774648,627500,0.33,-34.5,-21.9,-10.94
ACNB,ACNB Corporation,39.63999938964844,11.523255,12700,-15.97,2.08,24.43,-11.14
AAT,"American Assets Trust, Inc.",26.1200008392334,26.927835,217200,-2.97,2.83,30.88,20.21
LNT,Alliant Energy Corporation,59.540000915527344,23.167316,728900,0.07,3.85,27.37,20.3
HOMB,"Home BancShares, Inc.",28.40999984741211,14.644329,573800,-7.25,6.44,25.75,13.18
FAF,First American Corporation (New,62.540000915527344,71.068184,312800,-2.78,2.09,12.5,-0.27
CAAS,"China Automotive Systems, Inc.",4.039999961853027,3.8476193,60600,-4.94,7.45,28.33,46.61
BGR,BlackRock Energy and Resources ,12.5600004196167,6.28,117500,-6.62,-0.91,-1.92,7.32
ATLC,Atlanticus Holdings Corporation,57.0,12.80899,29300,15.85,73.46,108.56,47.32
APLE,"Apple Hospitality REIT, Inc.",15.4399995803833,18.164705,1217000,-0.47,10.51,1.88,-2.98
AMSF,"AMERISAFE, Inc.",51.630001068115234,16.084112,57400,-6.04,13.34,16.56,19.04
AGYS,"Agilysys, Inc.",135.5800018310547,38.407932,93900,12.2,24.53,64.56,56.79
AFG,"American Financial Group, Inc.",137.0,12.851783,160200,-3.53,5.97,8.86,19.88
LND,Brasilagro Brazilian Agric Real,3.5899999141693115,7.6382976,84100,-13.49,-24.26,-25.36,-33.89
AVNW,"Aviat Networks, Inc.",17.81999969482422,N/A,179700,28.11,-35.08,-48.23,-46.05
APPF,"AppFolio, Inc.",249.88999938964844,69.41389,116100,7.08,9.68,12.86,44.31
ALLE,Allegion plc,131.97000122070312,20.271889,429000,-6.62,-1.56,4.34,5.18
AHH,"Armada Hoffler Properties, Inc.",10.0600004196167,N/A,997200,-5.59,-12.21,2.67,-14.36
AGM,Federal Agricultural Mortgage C,197.25,12.69305,29100,-4.44,5.72,10.87,5.42
AAME,Atlantic American Corporation,1.4800000190734863,N/A,300,-12.94,-3.27,-32.42,-32.13
TEO,Telecom Argentina SA,13.369999885559082,13.7835045,319600,2.85,81.9,77.32,80.19
OMAB,Grupo Aeroportuario del Centro ,69.58000183105469,13.563353,41900,5.66,12.05,-9.95,-16.04
NOA,North American Construction Gro,21.15999984741211,16.030302,37200,6.01,13.27,1.24,2.37
DIT,AMCON Distributing Company,135.0,18.881119,100,2.44,-4.92,-22.09,-30.77
CRESY,Cresud S.A.C.I.F. y A.,12.960000038146973,N/A,147800,19.45,65.94,38.61,37.87
ATEN,"A10 Networks, Inc.",18.579999923706055,28.151514,347000,12.2,38.66,41.83,39.59
APPS,"Digital Turbine, Inc.",1.8600000143051147,N/A,2916700,32.86,-53.03,-0.53,-73.62
REX,REX American Resources Corporat,41.56999969482422,10.882199,125600,-9.96,-10.68,-26.71,-13.22
PAC,Grupo Aeroportuario Del Pacific,178.7100067138672,20.660118,28000,-1.88,12.02,9.8,2.57
GABC,"German American Bancorp, Inc.",40.560001373291016,14.6426,534300,-11.31,4.67,26.2,22.72
ERH,40135,10.720000267028809,4.960648,19300,-0.09,1.9,19.38,16.78
BTI,British American Tobacco  Indus,36.310001373291016,N/A,2580800,2.31,0.03,26.87,24.22
ASUR,Asure Software Inc,9.350000381469727,N/A,82800,8.09,10.65,28.08,-1.68
VLRS,Controladora Vuela Compania de ,7.630000114440918,4.5963855,195200,-6.61,36.74,8.23,-19.77
TEAM,Atlassian Corporation,250.11000061035156,N/A,934000,0.05,57.96,21.1,3.69
NEN,New England Realty Associates L,77.19999694824219,19.94832,500,-4.63,2.25,11.14,13.25
EVTC,"Evertec, Inc.",34.7599983215332,27.15625,302900,0.9,6.2,-6.98,-15.32
BAYN.DE,Bayer AG                      N,19.281999588012695,N/A,3479130,-4.28,-31.41,-26.07,-43.96
ARKR,Ark Restaurants Corp.,11.489999771118164,N/A,1700,10.59,-8.23,-16.19,-18.51
APP,Applovin Corporation,335.1700134277344,102.18598,2504400,17.81,268.76,343.52,722.3
AGRO,Adecoagro S.A.,9.470000267028809,6.3133335,403500,-11.91,-12.15,-14.68,-14.38
TKC,Turkcell Iletisim Hizmetleri AS,6.630000114440918,7.7999997,210800,-2.07,-7.4,20.55,37.84
PRTS,"CarParts.com, Inc.",0.949999988079071,N/A,330500,1.06,13.1,-33.1,-71.3
AUBN,"Auburn National Bancorporation,",23.920000076293945,99.645836,12100,8.73,31.86,35.75,12.41
ASYS,"Amtech Systems, Inc.",5.539999961853027,N/A,21200,-2.98,-16.44,16.63,29.74
AMPH,"Amphastar Pharmaceuticals, Inc.",37.79999923706055,12.558139,374200,-16.11,-19.35,-4.59,-39.2
ALJJ,"ALJ Regional Holdings, Inc.",,N/A,,,,,
FWRD,Forward Air Corporation,30.139999389648438,N/A,361800,-16.44,-1.54,17.83,-52.69
AXON,"Axon Enterprise, Inc.",610.97998046875,158.6961,392100,1.06,62.88,96.58,136.27
ASRV,AmeriServ Financial Inc.,2.5799999237060547,N/A,14300,-8.83,4.03,7.95,-21.34
APWC,Asia Pacific Wire & Cable Corpo,1.4500000476837158,8.066111,10000,-20.77,-8.23,2.84,12.4
APAM,Artisan Partners Asset Manageme,43.970001220703125,12.213889,212600,-8.01,6.78,1.08,-2.05
AIR.PA,AIRBUS SE,155.3000030517578,37.602905,773490,11.79,11.82,-2.88,11.42
ABX.TO,BARRICK GOLD CORPORATION,22.600000381469727,17.121212,2426500,-4.72,-18.71,-8.39,-5.52
6599.KL,AEON,1.4700000286102295,14.7,980700,2.08,-3.29,30.09,28.95
MOG-A,Moog Inc.,196.19000244140625,30.654688,91400,-9.83,3.88,25.71,35.22
FTLF,"FitLife Brands, Inc.",32.13999938964844,18.905882,13400,-2.84,3.11,13.93,70.32
CS.PA,AXA,34.08000183105469,10.5510845,2335781,1.31,1.46,1.85,13.92
BBD-A.TO,"BOMBARDIER INC., CL. A, MV",98.02999877929688,15.535658,6000,8.5,10.26,62.19,85.21
ATH.TO,ATHABASCA OIL CORP,5.070000171661377,12.675,1647600,-0.78,-6.8,-4.34,22.17
ANZ.AX,ANZ GROUP FPO [ANZ],28.81999969482422,13.404651,2169295,-8.88,-3.77,1.62,10.89
ANTM.JK,Aneka Tambang Tbk.,1525.0,15.082583,51044700,1.67,3.39,-6.73,-10.29
ALO.PA,ALSTOM,21.790000915527344,N/A,592272,-1.13,21.12,52.48,94.03
AIRT,"Air T, Inc.",20.399999618530273,N/A,2000,7.94,-7.78,-14.21,18.74
AC.PA,ACCOR,46.75,20.68584,502989,7.69,29.68,19.14,35.43
ABI.BR,AB INBEV,48.720001220703125,15.869707,998813,-9.14,-11.42,-9.54,-17.16
XRF.AX,XRF SCIEN FPO [XRF],1.8899999856948853,31.5,81284,8.0,26.85,50.0,59.49
WOW.AX,WOOLWORTHS FPO [WOW],30.510000228881836,339.0,900945,4.49,-14.1,-4.3,-18.66
TPZ,Tortoise Power and Energy Infra,19.950000762939453,4.938119,728100,1.17,11.02,32.56,42.2
SIEGY,Siemens AG,98.7300033569336,18.488764,108500,0.05,6.89,8.26,6.08
QBE.AX,QBE INSUR. FPO [QBE],19.469999313354492,10.467741,1210590,2.53,22.22,12.61,32.54
MT.AS,ARCELORMITTAL SA,22.209999084472656,N/A,1426426,-5.53,7.66,-5.53,-12.94
IAG.TO,IA FINANCIAL CORPORATION,133.67999267578125,13.530363,105000,1.31,33.09,61.62,48.6
BHP.AX,BHP GROUP FPO [BHP],39.77000045776367,15.971888,4655017,-0.6,-2.86,-11.56,-21.31
ASII.JK,Astra International Tbk,4930.0,5.8685584,14456700,-1.89,-3.8,-6.54,-13.89
ARBV,AMERICAN RIVIERA BANCORP,19.700000762939453,12.875817,1400,-0.25,13.54,23.28,19.39
AOXY,"Advanced Oxygen Technologies, I",0.06400000303983688,Infinity,0,0.0,-1.69,-60.0,-58.17
ALV.DE,Allianz SE                    v,295.1000061035156,12.164056,550402,3.69,8.65,13.94,21.67
AKRA.JK,AKR Corporindo Tbk,1120.0,8.71053,8081800,-18.25,-25.83,-34.12,-20.0
AKO-B,Embotelladora Andina S.A.,18.450000762939453,15.002439,5900,6.59,-2.69,16.62,25.0
3264.TWO,ARDENTEC CORPORATION,54.20000076293945,11.531916,5566000,-1.45,-18.13,-32.92,-33.9
STO.AX,SANTOS FPO [STO],6.550000190734863,10.564516,3767550,-2.09,-11.96,-15.59,-14.71
HNNA,"Hennessy Advisors, Inc.",11.619999885559082,12.630434,10700,12.05,19.06,62.75,77.13
GTN-A,"Gray Television, Inc.",6.78000020980835,4.52,1600,-1.45,-22.78,-3.83,-22.69
FMAO,"Farmers & Merchants Bancorp, In",28.559999465942383,16.899408,13800,-11.11,10.61,42.3,7.29
CRP.TO,CERES GLOBAL AG CORP.,3.0,13.043478,0,-13.04,7.53,15.38,40.19
